Nomor Inventaris,Nama Mesin,Merk,Tanggal Pembelian,Location,Made In,Kondisi Mesin,Mesin Yang Tersedia,Kelompok Mesin
TW-MPP-00522,MESIN HEAT PRESS ROLL,Phoenix,,TW38,Germany,Normal,1,Maica
TW-MPP-00516,KOMPRESOR 15hp,Shark,2023-01-11 00:00:00,TW1,Indonesia,Normal,1,Helper
TW-MPP-00032,KAPASITOR BANK,Shizuki,2019-07-03 00:00:00,TW1,Jepang,Normal,1,Helper
TW-MPP-00087,MESIN Ban Karet SIRUBA,Siruba,2016-07-03 00:00:00,TW1,Taiwan,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00519,GENSET 300KVA,Suntek,2023-01-03 00:00:00,TW38,china,Normal,1,Helper
TW-MPP-00589,Mesin Jarum 1  S7180A,Brother,2023-04-05 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00592,Mesin Obras MO-6816D JUKI,Juki,2025-03-14 00:00:00,TW1,China,Normal,1,OL 3
TW-MPP-00117,Meja Gosok Suesei,Susei,2020-03-01 00:00:00,TW38,Jepang,Normal,1,Ironning
TW-MPP-00123,KOMPRESOR 10HP,Swan,2016-03-01 00:00:00,TW1,Taiwan,Normal,1,Helper
TW-MPP-00520,KOMPRESOR 10HP,Swan,2023-01-01 00:00:00,TW38,Taiwan,Normal,1,Helper
TW-MPP-00521,KOMPRESOR 5HP,Swan,2016-03-01 00:00:00,TW38,Taiwan,Normal,1,Helper
TW-MPP-00513,Mesin Obras GN-795,Typical,2009-04-01 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00601,Mesin Khusus Lipatan Heming Bedoly,Bedoly,2024-03-28 00:00:00,TW38,China,Normal,1,Overdeck
TW-MPP-00602,Mesin Obras Benang 5 HIKARI,Hikari,2024-03-28 00:00:00,TW1,China,Normal,1,OL 4 + Cr
TW-MPP-00603,Mesin Side CutterH99S,Hikari,2024-03-28 00:00:00,TW1,China,Normal,1,SC
TW-MPP-00722,Mesin Bobok kantong APW-895N,Juki,2023-04-05 00:00:00,TW1,China,Normal,1,APW
TW-MPP-00607,Mesin Soom JC 9330-0,Brother,2024-05-29 00:00:00,TW1,China,Normal,1,Soom
TW-MPP-00608,Mesin Potong Mika & Carton FT1512,Sinajet,2024-05-29 00:00:00,TW38,China,Normal,1,Manual
TW-MPP-00609,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00610,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00612,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00613,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00614,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00615,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00616,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00617,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00618,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00619,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00620,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00621,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00622,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00623,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00624,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00625,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00626,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00597,Mesin ObrasGN-795,Typical,2009-04-01 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00629,Mesin Press NS-450MS,Nissin,2024-12-04 00:00:00,TW38,China,Normal,1,Maica
TW-MPP-00630,Auto Cut J-wei CB03II-2516-RQ,J-Wei,2024-12-24 00:00:00,TW38,China,Normal,1,Manual
TW-MPP-00631,Auto Cut J-wei CB03II-2516-RQ/Projectors,J-Wei,2024-12-24 00:00:00,TW38,China,Normal,1,Manual
TW-MPP-00632,Bobok Laser Jooke JKT-3520-FA-HQ,Jooke,2024-12-04 00:00:00,TW38,China,Normal,1,Lain-lain
TW-MPP-00633,Mesin Tamplate JKC-NS2-13095-LM-XH,Jooke,2024-12-04 00:00:00,TW38,China,Normal,1,Lain-lain
TW-MPP-00634,Mesin Band Knife-BK900B,Nissin,2024-12-04 00:00:00,TW38,China,Normal,1,Manual
TW-MPP-00543,Mesin Autocutt Yuanyi ,Yuanyi,2025-04-19 00:00:00,TW38,China,Normal,1,Manual
TW-MPP-00636,Mesin Lubang Kancing  HE-800C-2,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,Button Holer
TW-MPP-00637,Mesin Bartack Brother KE-430HS-03,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,Bartack
